                   0 a=    x, b=    x, c=x, sum=    z, carry=z
                 2890                2890 a= 1152, b= 9925, c=0, sum= 8263, carry=0
                 2900                2900 a=10861, b=14768, c=0, sum=11077, carry=0
                 2910                2910 a=19997, b=18649, c=0, sum=24605, carry=0
                 2920                2920 a=27708, b=16208, c=0, sum=38646, carry=0
                 2930                2930 a=14000, b= 2496, c=0, sum=43916, carry=0
                 2940                2940 a=10529, b=21437, c=0, sum=12400, carry=0
                 2950                2950 a=17621, b=16405, c=0, sum=64734, carry=0
                 2960                2960 a=29677, b= 7332, c=0, sum=34026, carry=0
                 2970                2970 a=12218, b=29452, c=0, sum=32913, carry=0
                 2980                2980 a=17016, b= 5886, c=0, sum=41670, carry=0
                 2990                2990 a=13642, b= 3398, c=0, sum=22902, carry=0
                 3000                3000 a=21255, b=18851, c=0, sum=17040, carry=0
                 3010                3010 a= 9701, b=14647, c=0, sum=40106, carry=0
                 3020                3020 a= 9925, b=14851, c=0, sum=24348, carry=0
                 3030                3030 a=18729, b=10982, c=0, sum=24776, carry=0
                 3040                3040 a=29672, b=24702, c=0, sum=28687, carry=0
                 3050                3050 a=22176, b=19098, c=0, sum=54374, carry=0
                 3060                3060 a=19660, b= 1081, c=0, sum=41274, carry=0
                 3070                3070 a= 6939, b=20240, c=0, sum=20485, carry=0
                 3080                3080 a=  655, b= 7912, c=0, sum=27179, carry=0
                 3090                3090 a=29573, b=16365, c=0, sum= 8567, carry=0
                 3100                3100 a=15899, b=29532, c=0, sum=45938, carry=0
                 3110                3110 a= 1644, b= 7508, c=0, sum=45431, carry=0
                 3120                3120 a=22297, b=10597, c=0, sum= 9152, carry=0
                 3130                3130 a= 5662, b=12035, c=0, sum=57598, carry=0
                 3140                3140 a= 3176, b= 6084, c=0, sum=17697, carry=0
                 3150                3150 a=11772, b=24054, c=0, sum= 9260, carry=0
                 3160                3160 a=16810, b=28456, c=0, sum=35826, carry=0
                 3170                3170 a=22117, b=26938, c=0, sum=45266, carry=0
                 3180                3180 a= 7898, b=10707, c=0, sum=57247, carry=0
                 3190                3190 a=23570, b=14636, c=0, sum=18605, carry=0
                 3200                3200 a= 9513, b=15411, c=0, sum=38270, carry=0
                 3210                3210 a=25323, b=15160, c=0, sum=24924, carry=0
